"date","geography","geography code","Economic Activity: All usual residents aged 16 to 74; measures: Value","Economic Activity: Economically active; measures: Value","Economic Activity: Economically active: In employment; measures: Value","Economic Activity: Economically active: Employee: Part-time; measures: Value","Economic Activity: Economically active: Employee: Full-time; measures: Value","Economic Activity: Economically active: Self-employed; measures: Value","Economic Activity: Economically active: Unemployed; measures: Value","Economic Activity: Economically active: Full-time student; measures: Value","Economic Activity: Economically Inactive; measures: Value","Economic Activity: Economically inactive: Retired; measures: Value","Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Economic Activity: Economically inactive: Looking after home or family; measures: Value","Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Economic Activity: Economically inactive: Other; measures: Value","Economic Activity: Unemployed: Age 16 to 24; measures: Value","Economic Activity: Unemployed: Age 50 to 74; measures: Value","Economic Activity: Unemployed: Never worked; measures: Value","Economic Activity: Long-term unemployed; measures: Value"
"2011","Darlington","E06000005",76635,53443,47487,11555,30337,5595,4002,1954,23192,12214,2742,3081,3737,1418,1260,724,629,1613
"2011","County Durham","E06000047",383796,247101,219826,50595,143922,25309,17013,10262,136695,65444,23837,14190,24887,8337,5615,2917,2989,6724
"2011","Hartlepool","E06000001",66804,43513,36532,10092,22635,3805,5194,1787,23291,10621,3042,3265,4733,1630,1586,859,969,2089
"2011","Middlesbrough","E06000002",100551,63582,51535,15063,31301,5171,7631,4416,36969,13922,7453,5569,6841,3184,2296,1273,1709,3070
"2011","Northumberland","E06000057",233224,158268,142811,34368,86380,22063,10329,5128,74956,43897,8108,8368,10321,4262,3102,2077,1535,4028
"2011","Redcar and Cleveland","E06000003",99177,63530,54558,15322,33372,5864,6533,2439,35647,19206,4142,4361,5869,2069,2052,1204,1225,2692
"2011","Stockton-on-Tees","E06000004",140654,96259,83938,22070,52927,8941,8075,4246,44395,20767,7277,5911,6861,3579,2431,1413,1464,3345
"2011","Gateshead","E08000037",148079,100184,88817,21023,58988,8806,7419,3948,47895,23531,6832,5670,8844,3018,2157,1254,1235,2916
"2011","Newcastle upon Tyne","E08000021",212864,133848,108778,25835,69811,13132,10652,14418,79016,24571,29253,8868,11509,4815,2969,1788,2236,4119
"2011","North Tyneside","E08000022",147889,104242,92799,21815,61349,9635,7304,4139,43647,23497,5310,5048,7354,2438,1924,1505,1039,2965
"2011","South Tyneside","E08000023",108981,72645,62266,15480,40838,5948,7145,3234,36336,17355,4611,4696,7234,2440,2114,1394,1240,2868
"2011","Sunderland","E08000024",205552,135467,116562,29186,75899,11477,12016,6889,70085,32215,10778,8666,14084,4342,3856,2028,2349,4678
"2011","Blackburn with Darwen","E06000008",104417,67033,58129,14535,35597,7997,5575,3329,37384,13248,6065,7061,7378,3632,1627,808,1091,2219
"2011","Blackpool","E06000009",103813,68540,59026,14836,34230,9960,6337,3177,35273,16807,3809,3943,8228,2486,1872,1081,801,2557
"2011","Cheshire East","E06000049",270953,191253,174859,38940,106863,29056,8742,7652,79700,46446,11341,9591,8327,3995,2292,2075,1002,3412
"2011","Cheshire West and Chester","E06000050",243155,170778,153704,36206,95642,21856,8949,8125,72377,39893,10746,8620,9574,3544,2520,1859,1028,3351
"2011","Halton","E06000006",92708,63411,55741,13102,37219,5420,5151,2519,29297,13332,3858,3900,6451,1756,1648,878,799,1993
"2011","Warrington","E06000007",149461,107765,97274,21782,63875,11617,5961,4530,41696,22189,5441,4917,6063,3086,1759,1121,663,2263
"2011","Allerdale","E07000026",70978,48904,44833,11615,25912,7306,2553,1518,22074,13422,2128,2274,3215,1035,781,482,378,992
"2011","Barrow-in-Furness","E07000027",51103,33897,30348,8470,18723,3155,2365,1184,17206,9168,1613,1813,3720,892,781,399,356,864
"2011","Carlisle","E07000028",79531,57210,51767,13295,31161,7311,2847,2596,22321,12331,2778,2314,3711,1187,902,512,339,1112
"2011","Copeland","E07000029",52702,35335,32184,7984,20525,3675,2235,916,17367,9657,1596,1922,2872,1320,716,437,403,816
"2011","Eden","E07000030",38735,28413,26527,6191,13651,6685,822,1064,10322,6822,1070,923,1067,440,256,215,62,268
"2011","South Lakeland","E07000031",75831,53396,49980,12015,26863,11102,1524,1892,22435,15457,2307,1769,1962,940,376,427,87,562
"2011","Bolton","E08000001",200723,134933,118777,27798,74631,16348,9913,6243,65790,29514,10318,9504,11574,4880,3042,1595,1773,3929
"2011","Bury","E08000002",134687,94680,85291,19118,53953,12220,5769,3620,40007,19558,6074,5168,6596,2611,1849,1007,968,2206
"2011","Manchester","E08000003",382932,243224,194093,41535,128930,23628,21880,27251,139708,29179,53999,18697,25161,12672,5926,2859,4784,8453
"2011","Oldham","E08000004",159765,106398,93015,22171,58410,12434,8661,4722,53367,22426,8135,9038,9209,4559,2788,1340,1575,3225
"2011","Rochdale","E08000005",152742,101003,87821,20101,55604,12116,9047,4135,51739,20853,8025,7838,10446,4577,2821,1378,1614,3521
"2011","Salford","E08000006",173117,118130,101014,21676,67966,11372,9041,8075,54987,20950,10093,7021,11915,5008,2630,1379,1587,3650
"2011","Stockport","E08000007",205310,146296,132659,29946,83049,19664,8002,5635,59014,31395,8674,7139,8527,3279,2221,1696,954,3165
"2011","Tameside","E08000008",161459,111016,98945,21377,65546,12022,8052,4019,50443,23682,6865,6443,9970,3483,2580,1342,1271,3272
"2011","Trafford","E08000009",162806,118064,106854,22799,68201,15854,6136,5074,44742,21729,7200,6426,6499,2888,1682,1218,803,2377
"2011","Wigan","E08000010",236495,162781,145028,32880,94703,17445,11483,6270,73714,38211,8293,8302,14652,4256,3594,1854,1696,4652
"2011","Burnley","E07000117",63376,41879,36907,9129,23187,4591,3342,1630,21497,9745,2749,2876,4433,1694,1081,552,527,1352
"2011","Chorley","E07000118",79951,56645,52009,11542,33167,7300,2588,2048,23306,12899,2590,2279,3262,2276,767,487,307,993
"2011","Fylde","E07000119",54544,36447,33285,7374,20222,5689,1687,1475,18097,11262,1785,1699,2161,1190,469,377,150,628
"2011","Hyndburn","E07000120",58356,39118,34663,7902,22029,4732,2688,1767,19238,8803,2513,2600,3912,1410,977,399,435,994
"2011","Lancaster","E07000121",103296,67262,58498,14852,34812,8834,3362,5402,36034,15718,11219,2915,4431,1751,1010,676,487,1325
"2011","Pendle","E07000122",64440,42765,37965,9036,23179,5750,3012,1788,21675,9753,2650,3700,3921,1651,951,475,515,1194
"2011","Preston","E07000123",104085,70509,59350,14188,38229,6933,4575,6584,33576,12147,8538,4579,5594,2718,1370,674,740,1835
"2011","Ribble Valley","E07000124",41285,29672,27612,6023,16105,5484,852,1208,11613,7431,1504,979,1128,571,223,250,74,294
"2011","Rossendale","E07000125",50075,35186,31864,6794,20067,5003,2090,1232,14889,7372,2148,1809,2715,845,673,383,304,840
"2011","South Ribble","E07000126",80458,58577,53816,11969,35168,6679,2421,2340,21881,13286,2677,2136,2803,979,820,450,272,823
"2011","West Lancashire","E07000127",81601,55680,48969,11504,29658,7807,3180,3531,25921,13888,4668,2673,3515,1177,943,652,430,1315
"2011","Wyre","E07000128",77663,51450,46576,11298,26923,8355,2464,2410,26213,16467,3010,2247,3443,1046,741,519,261,910
"2011","Knowsley","E08000011",106155,69617,59456,15173,38065,6218,6926,3235,36538,14415,5127,4822,9333,2841,2065,1165,1342,2841
"2011","Liverpool","E08000012",356876,226270,182270,44816,116778,20676,23980,20020,130606,41070,36781,13683,28453,10619,6416,3647,4727,9889
"2011","Sefton","E08000014",198197,133012,117085,29799,71019,16267,9708,6219,65185,34329,8676,6705,11612,3863,2799,2009,1460,4015
"2011","St. Helens","E08000013",129584,86121,76158,18169,49968,8021,6640,3323,43463,22144,5294,4971,8638,2416,2056,1087,1190,2752
"2011","Wirral","E08000015",230851,153240,135543,34513,83696,17334,11939,5758,77611,38761,10491,9046,14724,4589,3638,2376,1994,4865
"2011","East Riding of Yorkshire","E06000011",245594,168860,153451,37856,90761,24834,8795,6614,76734,47790,9149,7849,7720,4226,2451,2006,1082,3392
"2011","Kingston upon Hull, City of","E06000010",190610,128130,105890,28041,68035,9814,15296,6944,62480,23025,13243,9482,11524,5206,4301,2311,2624,7003
"2011","North East Lincolnshire","E06000012",115823,79227,68609,19086,42039,7484,7486,3132,36596,18018,4825,5635,5612,2506,2313,1299,1118,3143
"2011","North Lincolnshire","E06000013",122329,84668,75915,18768,48278,8869,5869,2884,37661,20296,4569,5433,5151,2212,1762,1080,952,2355
"2011","York","E06000014",149789,104945,91847,22487,57032,12328,4582,8516,44844,20688,14387,4107,3678,1984,1341,894,485,1662
"2011","Craven","E07000163",40056,28744,26704,6139,14540,6025,1003,1037,11312,7525,1300,1030,966,491,271,254,88,385
